War Score;War Score;0;War score is a measure of which side is winning a war. It ranges from -100 to +100, each point added to one side being subtracted at the same time from the other side;War score is a measure of how much territory has been captured in a war. It ranges from 0 to 100, with both sides having their own independent war score, unaffected by the other side's progress.;War score is determined solely by the number of battles won, with each victory adding a fixed amount to the war score, regardless of other factors like territory or objectives.;War score only changes when one side captures the enemy's capital city, with smaller battles and skirmishes having no impact on the score.
War Score;WS Battle;0;The percentage allocated to winning battles is limited to 50% so it is not possible to win a war as an attacker without also occupying holdings unless the ruler or the primary heir is captured in a battle.;The war score from battles is capped at 100%, meaning that winning battles alone can fully determine the outcome of the war without the need for occupation or capturing key figures.;Winning a single decisive battle can instantly grant 100% of the war score, making it possible to end the war immediately without any need for further combat or occupation.;The war score from battles is cumulative and unlimited, meaning that the more battles you win, the higher your score can go, even exceeding the 100-point scale.
War Score;WS Imprison;0;War score from imprisoning enemy leaders is calculated based on the importance of the captured individual: capturing the enemy ruler grants +100 war score, capturing the primary heir grants +50, the secondary heir grants +25, and the tertiary heir grants +10.;Capturing any member of the enemy's court, regardless of their rank or importance, automatically grants +100 war score, with no distinction between rulers or heirs.;Imprisoning the enemy ruler adds +50 to the war score, while capturing any of the heirs, regardless of their rank, only adds +10.;The war score from capturing the enemy ruler or heirs is capped at +50, so even if you capture all key figures, the maximum war score contribution from imprisoning them is +50.
War Score;WS Target;0;War score from the war target depends on controlling the main areas of the conflict. If one side controls all the key areas, they earn war score each month;War score from the war target is based on the total number of battles fought in the conflict area. Winning battles adds to the war score, regardless of who controls the land.;Once a side controls any part of the key areas, they get a permanent war score bonus, even if the other side later takes back that land.;War score increases every month as long as either side controls any part of the key areas, without needing to control all of them.
War Score;WS Occupation;0;Occupying holdings generates war score. The amount of war score gained depends on the number of holdings occupied within the target county. The more holdings you control, the higher the war score you accumulate.;Once you occupy a single holding within a county, the war score immediately reaches its maximum value, regardless of whether you occupy additional holdings.;You can«t gain warscore from occupying other holdings than the capital;Occupying enemy holdings decreases the war score by a fixed amount, regardless of how many holdings you capture.
Battle;Battle;0;Battles is the clash of 2 or more opposing armies and begins when they enter the same territory;Battles is the clash of only 2 opposing armies and begins when they enter the same territory;Battles is the clash of 2 or more armies and begins before they enter the same territory;Battles is the clash of only 2 armies and begins before they enter the same territory.
Army;Army;0;An army is a large group of soldiers that can be controlled to attack other armies or siege a holding during wars.;An army is a large group of soldiers that can only be controlled to attack other armies during wars.;An army is a large group of soldiers that can only be controlled to siege a holding during wars.;An army is just a single soldier who fights on their own in battles.
Mercenaries;Mercenaries;0;Mercenaries are armies that can be hired by rulers for 3 years. The gold cost is paid upon hiring the Mercenaries and there is no additional cost associated with hiring them, but at the end of the 3 years, they will leave if their contract is not extended. Extending a contract for 3 years has the same cost as initially hiring the army.;Mercenaries are armies that can be hired by rulers for 2 years. The gold cost is paid in installments throughout the contract, and at the end of the 2 years, they will leave unless offered a bonus.;Mercenaries are armies that can be hired by rulers for 3 years. The gold cost is paid upon hiring, but they require an additional upkeep fee every year, and they may leave early if the upkeep is not paid.;Mercenaries are armies that rulers can hire for a lifetime, with no initial gold cost and no need for contract extensions
Army;Damage;0;A Soldier's Damage shows how many enemies it can defeat in battle. It depends on its unit type (Levies, Men-At-Arms or Knights).;The Soldier's Damage is a number between 0 and 20 that shows how strong the Soldier is. It depends on its unit type (Levies, Men-At-Arms or Knights).;An Soldier's Damage shows how many enemies it can defeat in battle. It is randomly generated upon raising the army.;The Soldier's Damage is a number between 0 and 20 that shows how strong the Soldier is. It is randomly generated upon raising the army.
Army;Toughness;0;A Soldier's Toughness determines how much Damage they can take before becoming a casualty. It depends on its unit type (Levies, Men-At-Arms, KnightsÉ).;A Soldier's Toughness determines how much Damage they can take before becoming a casualty. It is randomly generated upon raising the army.;A Soldier's Toughness is a number between 0 and 20 that determines how much Damage they can take before becoming a casualty. It depends on its unit type (Levies, Men-At-Arms or Knights).;A Soldier's Toughness is a number between 0 and 20 that determines how much Damage they can take before becoming a casualty. It is randomly generated upon raising the army.
